电影名称,上映日期,评分,评论人数,演员,类型,国家,电影ID,URL
蝙蝠侠：黑暗骑士崛起,2012-08-27,8.9,765073,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇","剧情,动作,科幻,犯罪,惊悚","美国,英国",3395373,https://movie.douban.com/subject/3395373/
勇敢的心,1995-05-18,8.9,579998,"梅尔·吉布森,苏菲·玛索,布莱恩·考克斯","动作,传记,剧情,历史,战争",美国,1294639,https://movie.douban.com/subject/1294639/
攻壳机动队,1995-11-18,9.1,151679,"田中敦子,大塚明夫,山寺宏一","动作,科幻,动画",日本,1291936,https://movie.douban.com/subject/1291936/
进击的巨人 最终季 完结篇 后篇,2023-11-04,9.3,85104,"梶裕贵,石川由依,井上麻里奈","动作,动画,奇幻",日本,36283000,https://movie.douban.com/subject/36283000/
功夫,2004-12-23,8.8,1224181,"周星驰,元秋,元华","动作,喜剧,犯罪,奇幻","中国大陆,中国香港",1291543,https://movie.douban.com/subject/1291543/
阿凡达,2010-01-04,8.8,1490159,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗","动作,科幻,冒险",美国,1652587,https://movie.douban.com/subject/1652587/
超能陆战队,2015-02-28,8.8,1075592,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼","喜剧,动作,科幻,动画,冒险",美国,11026735,https://movie.douban.com/subject/11026735/
加勒比海盗,2003-11-21,8.8,909391,"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆","动作,冒险,奇幻",美国,1298070,https://movie.douban.com/subject/1298070/
纵横四海,1991-02-02,8.8,449641,"周润发,张国荣,钟楚红","剧情,喜剧,动作,犯罪",中国香港,1295409,https://movie.douban.com/subject/1295409/
被解救的姜戈,2013-05-12,8.8,647036,"杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·瓦尔兹","剧情,动作,西部,冒险",美国,6307447,https://movie.douban.com/subject/6307447/
黑客帝国3：矩阵革命,2003-11-05,8.8,470145,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1302467,https://movie.douban.com/subject/1302467/
谍影重重3,2007-11-15,8.8,441779,"马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩","动作,悬疑,惊悚","美国,德国,法国,英国",1578507,https://movie.douban.com/subject/1578507/
枪火,1999-11-19,8.8,240446,"吴镇宇,任达华,黄秋生","剧情,动作,犯罪",中国香港,1300741,https://movie.douban.com/subject/1300741/
东邪西毒：终极版,2009-03-26,8.8,211251,"张国荣,林青霞,梁朝伟","剧情,动作,爱情","中国香港,中国大陆,中国台湾",3726072,https://movie.douban.com/subject/3726072/
终结者2：审判日,1991-07-03,8.8,360452,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆","动作,科幻","美国,法国",1291844,https://movie.douban.com/subject/1291844/
新龙门客栈,2012-02-24,8.7,471944,"张曼玉,林青霞,梁家辉","动作,爱情,武侠,古装","中国香港,中国大陆",1292287,https://movie.douban.com/subject/1292287/
疯狂的麦克斯4：狂暴之路,2015-05-14,8.7,579165,"汤姆·哈迪,查理兹·塞隆,尼古拉斯·霍尔特","动作,科幻,冒险","澳大利亚,美国",3592854,https://movie.douban.com/subject/3592854/
黑客帝国2：重装上阵,2003-07-18,8.7,428490,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1304141,https://movie.douban.com/subject/1304141/
谍影重重2,2004-11-14,8.7,373543,"马特·达蒙,布莱恩·考克斯,琼·艾伦","动作,悬疑,惊悚","美国,德国",1308767,https://movie.douban.com/subject/1308767/
头号玩家,2018-03-30,8.6,1434430,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森","动作,科幻,冒险",美国,4920389,https://movie.douban.com/subject/4920389/
釜山行,2016-05-13,8.6,1268617,"孔刘,郑裕美,马东锡","动作,惊悚,灾难",韩国,25986180,https://movie.douban.com/subject/25986180/
东邪西毒,1994-09-17,8.6,603163,"张国荣,林青霞,梁朝伟","剧情,动作,爱情,武侠,古装","中国香港,中国台湾",1292328,https://movie.douban.com/subject/1292328/
黑鹰坠落,2001-12-18,8.7,298326,"乔什·哈奈特,伊万·麦克格雷格,汤姆·塞兹摩尔","动作,历史,战争","美国,英国",1291824,https://movie.douban.com/subject/1291824/
英雄本色,2017-11-17,8.6,571732,"周润发,狄龙,张国荣","剧情,动作,犯罪",中国香港,1297574,https://movie.douban.com/subject/1297574/
切腹,1962-09-16,9.4,49816,"仲代达矢,石浜朗,岩下志麻","剧情,动作,悬疑",日本,1304920,https://movie.douban.com/subject/1304920/
蜘蛛侠：平行宇宙,2018-12-21,8.6,710861,"沙梅克·摩尔,杰克·约翰逊,海莉·斯坦菲尔德","动作,科幻,动画,冒险",美国,26374197,https://movie.douban.com/subject/26374197/
暗战,1999-09-23,8.6,262931,"刘德华,刘青云,蒙嘉慧","动作,剧情,犯罪",中国香港,1298898,https://movie.douban.com/subject/1298898/
谍影重重,2002-11-21,8.6,454334,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀","动作,悬疑,惊悚","美国,德国,捷克",1304102,https://movie.douban.com/subject/1304102/
蝙蝠侠：侠影之谜,2005-06-29,8.6,433214,"克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森","剧情,动作,科幻,犯罪,惊悚","美国,英国",1309069,https://movie.douban.com/subject/1309069/
霍比特人3：五军之战,2015-01-23,8.6,398987,"马丁·弗瑞曼,伊恩·麦克莱恩,理查德·阿米蒂奇","动作,奇幻,冒险","美国,新西兰",2973079,https://movie.douban.com/subject/2973079/
乱,1985-06-01,8.9,96876,"仲代达矢,寺尾聪,根津甚八","剧情,动作","日本,法国",1296196,https://movie.douban.com/subject/1296196/
复仇者联盟4：终局之战,2019-04-24,8.5,1105342,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","剧情,动作,科幻,奇幻,冒险",美国,26100958,https://movie.douban.com/subject/26100958/
精武英雄,1994-12-22,8.6,154070,"李连杰,中山忍,钱小豪","动作,剧情","中国香港,中国大陆",1292895,https://movie.douban.com/subject/1292895/
国产凌凌漆,1994-10-13,8.5,430053,"周星驰,袁咏仪,罗家英","动作,喜剧",中国香港,1307739,https://movie.douban.com/subject/1307739/
勇闯夺命岛,1996-06-07,8.6,256275,"肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯","动作,冒险",美国,1292728,https://movie.douban.com/subject/1292728/
神探,2008-02-22,8.5,324765,"刘青云,安志杰,林家栋","动作,犯罪,悬疑,惊悚",中国香港,2027938,https://movie.douban.com/subject/2027938/
角斗士,2000-05-05,8.6,232763,"罗素·克劳,华金·菲尼克斯,康妮·尼尔森","剧情,动作,冒险","美国,英国,马耳他,摩洛哥",1293530,https://movie.douban.com/subject/1293530/
守望者,2009-03-06,8.6,225266,"帕特里克·威尔森,卡拉·古奇诺,比利·克鲁德普","动作,科幻,悬疑",美国,1972698,https://movie.douban.com/subject/1972698/
蜘蛛侠：纵横宇宙,2023-06-02,8.5,459515,"沙梅克·摩尔,海莉·斯坦菲尔德,奥斯卡·伊萨克","喜剧,动作,科幻,动画,奇幻,冒险",美国,30391186,https://movie.douban.com/subject/30391186/
黄海,2010-12-22,8.5,245014,"河正宇,金允石,郑满植","剧情,动作,犯罪","韩国,美国,中国香港",3743114,https://movie.douban.com/subject/3743114/
霍比特人1：意外之旅,2013-02-22,8.5,426695,"伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇","动作,奇幻,冒险","美国,新西兰",1966182,https://movie.douban.com/subject/1966182/
变脸,1997-06-27,8.5,391712,"约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦","动作,科幻,犯罪,惊悚",美国,1292659,https://movie.douban.com/subject/1292659/
霍比特人2：史矛革之战,2014-02-21,8.5,379328,"伊恩·麦克莱恩,马丁·弗瑞曼,理查德·阿米蒂奇","动作,奇幻,冒险","美国,新西兰",11606328,https://movie.douban.com/subject/11606328/
速度与激情5,2011-05-12,8.5,379247,"范·迪塞尔,保罗·沃克,乔丹娜·布鲁斯特","动作,犯罪",美国,4286017,https://movie.douban.com/subject/4286017/
速度与激情7,2015-04-12,8.4,489346,"范·迪塞尔,保罗·沃克,杰森·斯坦森","动作,犯罪","美国,中国大陆,日本",23761370,https://movie.douban.com/subject/23761370/
疯狂的赛车,2009-01-20,8.4,413282,"黄渤,戎祥,九孔","动作,冒险,喜剧",中国大陆,2124703,https://movie.douban.com/subject/2124703/
王牌特工：特工学院,2015-03-27,8.4,694254,"塔伦·埃哲顿,科林·费尔斯,塞缪尔·杰克逊","喜剧,动作,冒险","英国,美国",24405378,https://movie.douban.com/subject/24405378/
启示,2006-12-08,8.7,109794,"鲁迪·杨布拉德,达利娅·埃尔南德斯,乔纳森·布雷维尔","动作,冒险,剧情",美国,1450031,https://movie.douban.com/subject/1450031/
钢铁侠,2008-04-30,8.4,626332,"小罗伯特·唐尼,格温妮斯·帕特洛,泰伦斯·霍华德","动作,冒险,科幻,惊悚",美国,1432146,https://movie.douban.com/subject/1432146/
小萝莉的猴神大叔,2018-03-02,8.4,486875,"萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔","剧情,喜剧,动作",印度,26393561,https://movie.douban.com/subject/26393561/
碟中谍4,2012-01-28,8.4,448079,"汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉","动作,惊悚,冒险",美国,3068206,https://movie.douban.com/subject/3068206/
加勒比海盗2：亡灵的宝藏,2006-07-07,8.4,444195,"约翰尼·德普,奥兰多·布鲁姆,凯拉·奈特莉","动作,冒险,奇幻",美国,1315574,https://movie.douban.com/subject/1315574/
加勒比海盗3：世界的尽头,2007-06-12,8.4,415267,"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆","动作,冒险,奇幻",美国,1418192,https://movie.douban.com/subject/1418192/
用心棒,1961-04-25,9.0,56600,"三船敏郎,仲代达矢,司叶子","剧情,动作,惊悚",日本,1292515,https://movie.douban.com/subject/1292515/
黄飞鸿,1991-08-15,8.4,195375,"李连杰,元彪,关之琳","剧情,动作,武侠,古装",中国香港,1298443,https://movie.douban.com/subject/1298443/
英雄本色2,1987-12-17,8.4,192225,"狄龙,张国荣,周润发","剧情,动作,犯罪",中国香港,1297862,https://movie.douban.com/subject/1297862/
西线无战事,2022-09-12,8.5,178860,"费利克斯·卡默雷尔,阿尔布雷希特·舒赫,亚伦·希尔默","剧情,动作,战争","德国,美国,英国",3042261,https://movie.douban.com/subject/3042261/
僵尸先生,1985-11-07,8.5,98780,"林正英,许冠英,钱小豪","动作,喜剧,奇幻",中国香港,1295933,https://movie.douban.com/subject/1295933/
精英部队2：大敌当前,2011-11-25,8.7,88932,"瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹","剧情,动作,犯罪,惊悚",巴西,4304402,https://movie.douban.com/subject/4304402/
喋血双雄,1989-07-06,8.5,90242,"周润发,李修贤,叶倩文","动作,犯罪,剧情,惊悚",中国香港,1296519,https://movie.douban.com/subject/1296519/
复仇者联盟,2012-05-05,8.3,676176,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","动作,科幻,奇幻,冒险",美国,1866479,https://movie.douban.com/subject/1866479/
监狱风云,1987-11-13,8.4,135180,"周润发,梁家辉,何家驹","剧情,动作,犯罪",中国香港,1293422,https://movie.douban.com/subject/1293422/
鹿鼎记,1992-07-30,8.3,353761,"周星驰,吴孟达,张敏","喜剧,动作,武侠,古装",中国香港,1297223,https://movie.douban.com/subject/1297223/
星球大战,1977-05-25,8.5,149089,"哈里森·福特,马克·哈米尔,凯丽·费雪","动作,科幻,冒险",美国,1293838,https://movie.douban.com/subject/1293838/
杀死比尔,2003-09-29,8.3,567795,"乌玛·瑟曼,刘玉玲,薇薇卡·福克斯","动作,犯罪,惊悚",美国,1291580,https://movie.douban.com/subject/1291580/
魁拔Ⅲ战神崛起,2014-10-01,8.6,58461,"刘婧荦,姚姝,王宇腾","动作,动画,奇幻,冒险",中国大陆,24723061,https://movie.douban.com/subject/24723061/
银河护卫队3,2023-05-05,8.3,538441,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","喜剧,动作,科幻,惊悚,冒险",美国,26258779,https://movie.douban.com/subject/26258779/
银翼杀手2049,2017-10-27,8.3,531042,"瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯","剧情,动作,科幻,悬疑,惊悚","美国,英国,加拿大,西班牙",10512661,https://movie.douban.com/subject/10512661/
天若有情,1990-06-14,8.4,124476,"刘德华,吴倩莲,吴孟达","动作,剧情,爱情",中国香港,1297710,https://movie.douban.com/subject/1297710/
变形金刚,2007-07-11,8.3,513335,"希亚·拉博夫,梅根·福克斯,乔什·杜哈明","动作,科幻",美国,1794171,https://movie.douban.com/subject/1794171/
第九区,2009-11-27,8.3,481035,"沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特","动作,剧情,科幻,惊悚","美国,新西兰,加拿大,南非",3006772,https://movie.douban.com/subject/3006772/
少林寺,1982-02-01,8.4,119297,"李连杰,于海,丁岚","动作,武侠,古装","中国大陆,中国香港",1301198,https://movie.douban.com/subject/1301198/
金刚狼3：殊死一战,2017-03-03,8.3,435046,"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩","剧情,动作,科幻",美国,25765735,https://movie.douban.com/subject/25765735/
盗火线,1995-12-15,8.5,133897,"阿尔·帕西诺,罗伯特·德尼罗,方·基默","剧情,动作,犯罪,惊悚",美国,1295686,https://movie.douban.com/subject/1295686/
罪恶之城,2005-04-01,8.4,203966,"杰西卡·阿尔芭,布鲁斯·威利斯,克里夫·欧文","动作,犯罪,惊悚",美国,1309027,https://movie.douban.com/subject/1309027/
暗花,1998-01-01,8.4,112731,"刘青云,梁朝伟,邵美琪","剧情,动作,犯罪,悬疑",中国香港,1292450,https://movie.douban.com/subject/1292450/
王牌对王牌,1998-07-29,8.5,132197,"塞缪尔·杰克逊,凯文·史派西,大卫·摩斯","动作,犯罪,剧情,悬疑,惊悚","美国,德国",1293434,https://movie.douban.com/subject/1293434/
生化危机,2002-03-15,8.3,384533,"米拉·乔沃维奇,米歇尔·罗德里格兹,科林·萨蒙","动作,科幻,恐怖","英国,德国,法国,美国,加拿大",1306809,https://movie.douban.com/subject/1306809/
黑衣人,1997-07-02,8.3,350605,"威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺","动作,喜剧,科幻",美国,1301445,https://movie.douban.com/subject/1301445/
红海行动,2018-02-16,8.2,1064185,"张译,黄景瑜,海清","动作,战争","中国大陆,中国香港",26861685,https://movie.douban.com/subject/26861685/
老男孩,2003-11-21,8.3,313326,"崔岷植,刘智泰,姜惠贞","剧情,动作,悬疑,惊悚",韩国,1308865,https://movie.douban.com/subject/1308865/
一代宗师,2013-01-08,8.2,646102,"梁朝伟,章子怡,张震","剧情,传记,动作,爱情","中国大陆,中国香港",3821067,https://movie.douban.com/subject/3821067/
碟中谍,1996-05-22,8.3,283284,"汤姆·克鲁斯,乔恩·沃伊特,艾曼纽·贝阿","动作,冒险,惊悚",美国,1292484,https://movie.douban.com/subject/1292484/
铁甲钢拳,2011-11-08,8.3,279801,"休·杰克曼,达科塔·高尤,凯文·杜兰","剧情,动作,科幻,运动","美国,印度",1972729,https://movie.douban.com/subject/1972729/
天下无贼,2004-12-09,8.2,538037,"刘德华,刘若英,王宝强","动作,犯罪,剧情","中国大陆,中国香港",1291550,https://movie.douban.com/subject/1291550/
星球大战前传3：西斯的反击,2005-05-20,8.5,112468,"伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森","动作,科幻,奇幻,冒险",美国,1309078,https://movie.douban.com/subject/1309078/
飓风营救,2008-04-09,8.3,272241,"连姆·尼森,玛姬·格蕾斯,法米克·詹森","动作,犯罪,剧情,惊悚","法国,美国,英国",2124586,https://movie.douban.com/subject/2124586/
黄飞鸿之二：男儿当自强,1992-04-16,8.3,147460,"李连杰,关之琳,甄子丹","剧情,动作,爱情,武侠,古装",中国香港,1293475,https://movie.douban.com/subject/1293475/
食神,2024-08-31,8.2,443597,"周星驰,莫文蔚,薛家燕","动作,喜剧",中国香港,1293351,https://movie.douban.com/subject/1293351/
少林足球,2001-07-12,8.2,440700,"周星驰,吴孟达,谢贤","动作,喜剧,运动",中国香港,1297747,https://movie.douban.com/subject/1297747/
武状元苏乞儿,1992-12-17,8.2,412968,"周星驰,张敏,吴孟达","喜剧,动作,武侠,古装",中国香港,1297863,https://movie.douban.com/subject/1297863/
逃学威龙,1991-07-18,8.2,359749,"周星驰,张敏,吴孟达","喜剧,动作,爱情",中国香港,1302090,https://movie.douban.com/subject/1302090/
绅士们,2019-12-03,8.3,237583,"马修·麦康纳,查理·汉纳姆,休·格兰特","喜剧,动作,犯罪","英国,美国",30211998,https://movie.douban.com/subject/30211998/
师父,2015-12-10,8.2,344960,"廖凡,宋佳,蒋雯丽","剧情,动作,武侠",中国大陆,25919910,https://movie.douban.com/subject/25919910/
功夫熊猫,2008-06-20,8.2,606944,"杰克·布莱克,达斯汀·霍夫曼,安吉丽娜·朱莉","喜剧,动作,动画,冒险",美国,1783457,https://movie.douban.com/subject/1783457/
福尔摩斯二世,1924-04-21,9.4,29877,"巴斯特·基顿,凯瑟琳·麦奎尔,乔·基顿","喜剧,动作,爱情",美国,1303408,https://movie.douban.com/subject/1303408/
明日边缘,2014-06-06,8.2,498155,"汤姆·克鲁斯,艾米莉·布朗特,布莱丹·格里森","动作,科幻","美国,加拿大",4746257,https://movie.douban.com/subject/4746257/
X战警：逆转未来,2014-05-23,8.2,461729,"休·杰克曼,詹姆斯·麦卡沃伊,迈克尔·法斯宾德","剧情,动作,科幻,冒险","美国,英国",10485647,https://movie.douban.com/subject/10485647/
沙丘2,2024-03-08,8.2,456999,"提莫西·查拉梅,赞达亚,丽贝卡·弗格森","剧情,动作,科幻,冒险","美国,加拿大",35575567,https://movie.douban.com/subject/35575567/
猩球崛起,2011-10-28,8.2,445641,"安迪·瑟金斯,詹姆斯·弗兰科,芙蕾达·平托","剧情,动作,科幻",美国,3274505,https://movie.douban.com/subject/3274505/
我是传奇,2007-12-14,8.2,424348,"威尔·史密斯,艾莉丝·布拉加,查理·塔汉","剧情,动作,惊悚,冒险",美国,1820156,https://movie.douban.com/subject/1820156/
阿基拉,1988-07-16,8.5,93732,"岩田光央,佐佐木望,小山茉美","动作,科幻,动画",日本,1302770,https://movie.douban.com/subject/1302770/
X战警：第一战,2011-05-25,8.2,343434,"詹姆斯·麦卡沃伊,迈克尔·法斯宾德,凯文·贝肯","动作,剧情,科幻","美国,英国",3168089,https://movie.douban.com/subject/3168089/
超人总动员,2005-01-28,8.2,317635,"格雷格·T·尼尔森,霍利·亨特,塞缪尔·杰克逊","喜剧,动作,动画,冒险",美国,1291577,https://movie.douban.com/subject/1291577/
周处除三害,2024-03-01,8.1,985662,"阮经天,袁富华,陈以文","动作,犯罪",中国台湾,36151692,https://movie.douban.com/subject/36151692/
黄飞鸿之三：狮王争霸,1992-12-24,8.2,163163,"李连杰,关之琳,莫少聪","剧情,动作,武侠,古装","中国香港,中国大陆",1292704,https://movie.douban.com/subject/1292704/
真实的谎言,1995-04-20,8.3,164051,"阿诺·施瓦辛格,杰米·李·柯蒂斯,汤姆·阿诺德","喜剧,动作,惊悚",美国,1292553,https://movie.douban.com/subject/1292553/
我，机器人,2004-07-16,8.2,289137,"威尔·史密斯,布里吉特·莫伊纳汉,艾伦·图代克","动作,悬疑,科幻,惊悚","美国,德国",1308843,https://movie.douban.com/subject/1308843/
A计划,1983-12-22,8.2,156388,"成龙,洪金宝,元彪","动作,喜剧",中国香港,1297909,https://movie.douban.com/subject/1297909/
星球大战2：帝国反击战,1980-05-21,8.4,111303,"马克·哈米尔,哈里森·福特,凯丽·费雪","动作,冒险,科幻",美国,1296528,https://movie.douban.com/subject/1296528/
买凶拍人,2001-08-16,8.2,152023,"葛民辉,张达明,詹瑞文","犯罪,动作,喜剧",中国香港,1300616,https://movie.douban.com/subject/1300616/
碟中谍6：全面瓦解,2018-08-31,8.1,516973,"汤姆·克鲁斯,亨利·卡维尔,文·瑞姆斯","动作,惊悚,冒险","美国,中国大陆,法国,挪威,英国",26336252,https://movie.douban.com/subject/26336252/
精武门,1972-03-22,8.5,46753,"李小龙,苗可秀,田俊","动作,剧情,爱情,惊悚",中国香港,1294991,https://movie.douban.com/subject/1294991/
黑客帝国动画版,2003-06-03,8.8,50193,"大塚明夫,克莱顿·华生,帕梅拉·阿德龙","动作,剧情,动画,科幻","美国,日本",1292347,https://movie.douban.com/subject/1292347/
复仇者联盟3：无限战争,2018-05-11,8.1,797411,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","动作,科幻,奇幻,冒险",美国,24773958,https://movie.douban.com/subject/24773958/
警察故事,1985-12-14,8.2,126757,"成龙,林青霞,张曼玉","动作,喜剧,惊悚,犯罪",中国香港,1400868,https://movie.douban.com/subject/1400868/
星球大战3：绝地归来,1983-05-25,8.4,101208,"马克·哈米尔,哈里森·福特,凯丽·费雪","动作,科幻,奇幻,冒险",美国,1297151,https://movie.douban.com/subject/1297151/
侠女,1970-07-10,8.6,36286,"徐枫,石隽,白鹰","剧情,动作,武侠,古装","中国台湾,中国香港",1306490,https://movie.douban.com/subject/1306490/
银河护卫队,2014-10-10,8.1,545525,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","动作,科幻,冒险",美国,7065154,https://movie.douban.com/subject/7065154/
终结者,1984-10-26,8.2,217754,"阿诺·施瓦辛格,迈克尔·比恩,琳达·汉密尔顿","动作,科幻,惊悚","美国,英国",1300656,https://movie.douban.com/subject/1300656/
孤胆特工,2011-09-16,8.2,213136,"元斌,金赛纶,坦纳永·王特拉库","剧情,动作,犯罪,惊悚",韩国,4249355,https://movie.douban.com/subject/4249355/
功夫熊猫2,2011-05-28,8.1,464957,"杰克·布莱克,安吉丽娜·朱莉,达斯汀·霍夫曼","喜剧,动作,动画,冒险",美国,3233635,https://movie.douban.com/subject/3233635/
鹿鼎记2：神龙教,1992-09-24,8.1,239597,"周星驰,邱淑贞,林青霞","喜剧,动作,武侠,古装",中国香港,1306951,https://movie.douban.com/subject/1306951/
双旗镇刀客,1991-05-17,8.4,52194,"高一玮,赵玛娜,常江","动作,冒险,武侠",中国大陆,1307812,https://movie.douban.com/subject/1307812/
蜘蛛侠,2002-08-07,8.1,396378,"托比·马奎尔,威廉·达福,克斯汀·邓斯特","动作,科幻,冒险",美国,1306612,https://movie.douban.com/subject/1306612/
空中监狱,1997-06-06,8.2,186991,"尼古拉斯·凯奇,约翰·库萨克,约翰·马尔科维奇","剧情,动作,犯罪,惊悚",美国,1300618,https://movie.douban.com/subject/1300618/
树大招风,2016-03-21,8.1,206585,"林家栋,任贤齐,陈小春","动作,犯罪","中国香港,中国大陆",26265170,https://movie.douban.com/subject/26265170/
猛龙过江,1972-12-30,8.4,50143,"李小龙,苗可秀,查克·诺里斯","动作,喜剧,犯罪,剧情,惊悚",中国香港,1306870,https://movie.douban.com/subject/1306870/
扎克·施奈德版正义联盟,2021-05-03,8.1,334370,"本·阿弗莱克,亨利·卡维尔,盖尔·加朵","动作,科幻,奇幻,冒险",美国,35076714,https://movie.douban.com/subject/35076714/
杀死比尔2,2004-04-08,8.1,333877,"乌玛·瑟曼,大卫·卡拉丁,刘家辉","动作,犯罪,惊悚",美国,1291584,https://movie.douban.com/subject/1291584/
太极张三丰,1993-11-18,8.1,179110,"李连杰,杨紫琼,钱小豪","喜剧,动作,武侠,古装","中国香港,中国大陆",1294561,https://movie.douban.com/subject/1294561/
升级,2018-03-10,8.2,170854,"罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森","动作,科幻,惊悚","美国,澳大利亚",27093707,https://movie.douban.com/subject/27093707/
方世玉,1993-03-04,8.1,177209,"李连杰,萧芳芳,陈松勇","喜剧,动作,武侠,古装",中国香港,1297763,https://movie.douban.com/subject/1297763/
无双,2018-09-30,8.0,949728,"周润发,郭富城,张静初","剧情,动作,犯罪,悬疑","中国大陆,中国香港",26425063,https://movie.douban.com/subject/26425063/
独立日,1996-07-02,8.1,301348,"威尔·史密斯,杰夫·高布伦,比尔·普尔曼","动作,科幻,冒险,灾难",美国,1293013,https://movie.douban.com/subject/1293013/
湄公河行动,2016-09-30,8.0,766006,"张涵予,彭于晏,孙淳","剧情,动作,犯罪","中国大陆,中国香港",25815034,https://movie.douban.com/subject/25815034/
枪王,2000-05-27,8.2,88369,"张国荣,方中信,黄卓玲","动作,犯罪",中国香港,1306692,https://movie.douban.com/subject/1306692/
恶童,2006-12-23,8.5,68909,"二宫和也,苍井优,伊势谷友介","动画,动作,冒险,犯罪",日本,1848925,https://movie.douban.com/subject/1848925/
罗小黑战记,2019-09-07,8.0,544796,"山新,郝祥海,刘明月","动作,动画,奇幻",中国大陆,26709258,https://movie.douban.com/subject/26709258/
将军号,1926-12-25,9.1,31965,"巴斯特·基顿,玛丽昂·马克,格伦·卡文德","剧情,喜剧,动作,战争,冒险",美国,1292778,https://movie.douban.com/subject/1292778/
铁雨,2017-12-14,8.2,148060,"郑雨盛,郭度沅,金甲洙","动作,惊悚",韩国,26863778,https://movie.douban.com/subject/26863778/
荒野猎人,2016-03-18,8.0,437605,"莱昂纳多·迪卡普里奥,汤姆·哈迪,多姆纳尔·格里森","剧情,动作,冒险","美国,中国香港,中国台湾",5327268,https://movie.douban.com/subject/5327268/
一个字头的诞生,1997-03-14,8.3,58306,"刘青云,吴镇宇,李若彤","动作,喜剧,犯罪",中国香港,1307372,https://movie.douban.com/subject/1307372/
康斯坦丁,2005-02-18,8.1,247553,"基努·里维斯,蕾切尔·薇兹,希亚·拉博夫","动作,奇幻,惊悚","美国,德国",1309021,https://movie.douban.com/subject/1309021/
罗拉快跑,1998-08-20,8.1,246809,"弗朗卡·波滕特,莫里兹·布雷多,赫伯特·克瑙普","动作,犯罪,惊悚",德国,1292275,https://movie.douban.com/subject/1292275/
大内密探零零发,1996-02-16,8.0,397808,"周星驰,刘嘉玲,李若彤","喜剧,动作,爱情,古装",中国香港,1329936,https://movie.douban.com/subject/1329936/
荒野大镖客,1964-09-12,8.4,80316,"克林特·伊斯特伍德,吉安·马里亚·沃隆特,沃尔夫冈·路卡西","动作,西部","意大利,西班牙,西德",1302522,https://movie.douban.com/subject/1302522/
暗杀,2015-09-17,8.1,231794,"全智贤,李政宰,河正宇","剧情,动作,历史,犯罪",韩国,25823132,https://movie.douban.com/subject/25823132/
勇敢者的游戏,1995-12-15,8.2,137885,"罗宾·威廉姆斯,乔纳森·海德,克斯汀·邓斯特","动作,奇幻,冒险",美国,1294990,https://movie.douban.com/subject/1294990/
第一滴血,1982-10-22,8.3,97814,"西尔维斯特·史泰龙,理查德·克里纳,布莱恩·丹内利","剧情,动作,冒险",美国,1294323,https://movie.douban.com/subject/1294323/
银河护卫队2,2017-05-05,8.0,487084,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","动作,科幻,冒险",美国,25937854,https://movie.douban.com/subject/25937854/
星球大战前传1：幽灵的威胁,1999-11-05,8.2,130007,"连姆·尼森,伊万·麦克格雷格,娜塔莉·波特曼","动作,科幻,冒险",美国,1294362,https://movie.douban.com/subject/1294362/
美国队长2,2014-04-04,8.0,454440,"克里斯·埃文斯,斯嘉丽·约翰逊,塞巴斯蒂安·斯坦","动作,科幻,惊悚,冒险",美国,6390823,https://movie.douban.com/subject/6390823/
生死时速,1994-06-10,8.2,127166,"基努·里维斯,桑德拉·布洛克,丹尼斯·霍珀","动作,犯罪,惊悚,冒险",美国,1293167,https://movie.douban.com/subject/1293167/
